Employee ID,Name,Department,Age,Experience,Salary(per month)
101123,Rohit Gupta,Marketing,27,First Job,30000
20345,Virat Sharma,Finance,34,TCS,45000
10234,Rahul Singh,Sales,36,Infosys,47000
134576,Ram Verma,IT,25,First Job,28000
1675,Rajan Pandey,Law,40,"HCL, Google",75000
45632,Mohan Mukherjee,Marketing,36,E and Y,52000
34657,Nirav Banerjeee,Sales,37,Boat,55000
56321,Ranjit Singh,Finance,32,P and G,43000
65894,Abhishek Pandey,Law,31,First Job,34000
43216,Ishaan Bhattacharya,IT,34,Infosys,35000
75643,Rohan Sharma,Finance,31,Boat,35000
